,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
252,0,0,1,0,42,1,2,0,0,0,0,0,0,0,0,1,2,50.25,1835
2445,1,0,1,0,53,1,2,1,2,0,2,0,0,2,0,0,2,93.9,4258
5602,1,0,0,1,6,1,0,1,0,0,2,0,2,2,0,0,3,94.5,4748
1789,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,19.95,133
3689,0,0,1,0,14,1,2,0,2,0,0,0,2,0,0,1,0,64.7,6426
3945,1,0,1,1,60,1,0,0,0,2,0,2,2,2,2,0,0,76.95,3874
6259,0,0,1,1,2,1,0,1,0,2,0,0,0,0,0,1,0,73.55,835
2691,0,0,0,0,8,1,2,1,0,0,0,0,2,2,0,0,0,95.65,5901
7345,1,0,1,1,65,1,0,0,2,0,0,2,2,2,2,1,0,74.8,4073
1902,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2339
2119,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.85,5453
6481,0,0,0,0,1,1,0,1,0,0,2,0,2,2,0,0,2,94.4,6420
5345,1,1,0,0,7,1,2,1,0,0,0,0,2,0,0,1,2,84.8,4536
6702,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475
4213,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6104
4438,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,1,55.5,1905
75,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2229
6623,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.75,3823
6110,0,0,0,0,64,1,2,1,0,0,2,0,2,2,1,1,1,100.05,5070
3870,1,0,0,0,6,1,0,0,0,0,0,2,0,0,0,1,1,49.5,2710
2988,1,0,0,0,30,1,2,0,2,0,0,0,0,2,0,1,3,64.5,1464
2476,1,0,0,0,31,1,2,0,0,2,0,2,2,0,0,1,2,71.05,1780
2572,0,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,2,60.85,210
7557,1,0,0,0,3,1,0,0,0,0,2,0,0,0,0,1,2,49.15,1186
5192,0,0,0,0,45,1,2,0,2,0,0,2,0,2,2,0,3,73.55,2905
5318,0,0,0,1,62,1,2,1,0,0,2,0,2,2,1,1,2,100.15,5167
2177,0,0,0,0,5,1,2,1,0,0,0,0,2,2,0,1,3,93.9,4102
4965,1,1,0,0,54,1,0,0,0,0,2,2,0,2,1,0,0,65.25,3058
240,1,0,1,0,47,1,2,1,0,0,0,0,2,2,1,1,1,95.2,3886
783,0,0,1,0,26,1,2,1,0,2,0,0,0,0,0,0,0,79.3,1644
1354,0,1,0,0,8,1,0,1,0,0,2,0,0,0,0,1,0,74.05,4915
3268,0,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,1,19.9,724
977,0,0,1,0,65,1,2,1,2,2,0,2,2,0,1,1,0,100.15,5288
809,0,0,0,0,15,1,2,1,2,0,2,0,0,0,0,1,1,84.35,556
1599,1,0,0,0,53,0,1,0,2,2,0,0,0,2,0,1,0,46.3,2199
4522,1,0,0,0,5,1,0,0,0,0,2,2,2,0,0,1,1,63.95,2760
2960,1,0,1,1,34,1,0,1,0,0,0,0,2,0,0,0,2,78.3,2219
1620,1,0,0,0,9,1,0,0,2,0,0,2,0,2,0,0,3,64.95,4543
2673,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,1607
5447,1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.2,1357
3658,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.35,5508
1801,1,0,0,0,9,1,2,0,0,0,0,0,0,2,0,0,3,59.9,4503
2095,0,0,1,0,66,1,2,1,2,2,0,2,0,0,1,0,2,89.0,4839
3693,1,0,1,0,60,1,2,2,1,1,1,1,1,1,1,0,0,24.15,919
1357,0,1,1,0,42,1,2,1,0,2,2,0,2,0,0,1,2,95.55,3364
6529,0,1,0,0,11,1,0,1,0,0,0,0,2,2,0,0,0,89.7,91
2582,1,0,0,0,24,1,0,1,0,0,0,2,2,2,0,1,2,96.0,1750
7305,0,1,0,0,30,0,1,0,0,0,2,0,2,0,0,1,2,40.3,322
3622,0,0,1,1,0,1,0,0,2,2,2,0,2,2,2,0,3,80.85,0
3014,0,1,0,0,20,1,0,1,0,0,0,0,0,2,0,1,2,81.45,1156
5945,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,42.9,3590
6470,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,3,50.45,4228
6395,1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.1,5962
6678,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,3387
6788,1,0,1,1,65,1,2,0,2,2,2,0,0,2,1,0,1,72.45,3940
29,1,0,0,0,1,1,2,1,0,0,0,0,2,0,0,0,2,84.5,6174
6266,1,1,1,1,51,1,2,1,0,2,2,0,0,0,0,1,2,84.2,3542
2932,0,0,0,0,47,1,0,2,1,1,1,1,1,1,2,1,3,20.55,6432
1092,0,0,1,1,54,1,2,0,2,2,2,2,2,2,2,0,1,91.3,4201
124,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,50.55,4230
4110,0,0,0,1,67,1,2,1,0,2,0,2,2,2,1,1,0,106.6,5640
5684,0,1,1,0,12,1,2,1,0,2,2,0,2,0,0,1,2,98.1,120
4080,0,1,1,0,66,1,2,1,0,2,0,0,2,2,0,1,2,100.8,5312
4937,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,203
4951,1,1,0,0,12,0,1,0,0,2,0,0,0,0,0,1,1,29.35,3266
1553,1,0,1,0,8,1,0,1,2,0,0,0,0,0,0,1,2,74.5,4976
5888,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.3,3816
598,0,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.45,2958
5312,0,0,1,0,9,1,0,1,0,0,0,0,2,2,0,0,2,89.45,6221
1416,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,1,2,79.4,2088
3487,0,1,0,0,10,1,0,1,0,0,2,0,0,2,0,1,1,84.6,6253
3939,1,0,0,0,41,1,0,1,0,0,0,2,0,0,0,1,2,74.25,2680
4511,1,0,1,1,61,1,0,2,1,1,1,1,1,1,1,0,3,20.4,415
3872,1,0,0,0,6,1,0,2,1,1,1,1,1,1,1,0,3,20.6,298
5432,1,0,1,0,9,1,0,1,0,2,2,2,2,0,0,1,3,94.85,6307
3392,0,0,0,0,41,1,2,0,2,0,2,2,0,2,0,1,0,74.65,2687
2576,1,0,0,0,5,1,2,1,0,0,0,0,0,0,0,1,0,75.9,3094
808,1,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0,3,54.85,3191
7167,0,1,0,0,41,1,2,1,2,2,2,0,2,2,0,1,2,113.2,3968
958,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,2,100.75,247
2549,1,0,1,0,59,1,2,0,2,0,0,2,0,2,1,1,3,69.1,3490
3082,0,0,1,1,11,1,0,2,1,1,1,1,1,1,0,1,3,19.25,1346
810,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,1,0,24.05,1206
834,1,0,1,0,72,1,2,1,2,2,2,2,2,2,2,1,2,115.55,6187
6666,1,0,0,1,49,1,2,1,0,0,0,0,0,0,0,0,1,75.2,3170
5338,1,1,1,0,16,1,0,1,0,2,0,0,0,0,0,1,1,74.3,331
1235,1,0,1,1,24,1,0,2,1,1,1,1,1,1,1,1,1,20.8,3970
1225,0,0,1,1,72,1,2,1,2,0,2,2,2,2,2,1,0,110.45,6043
6061,1,0,0,0,68,1,2,1,0,2,2,2,2,2,1,0,2,108.45,5614
3934,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.3,5507
5492,1,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,3,84.65,6176
2345,1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,1,1,20.6,2866
5583,0,0,0,0,13,1,2,1,0,2,2,0,0,0,0,1,2,84.45,113
4761,0,0,1,0,53,1,2,1,0,2,2,2,2,2,1,1,0,111.8,4787
2760,0,0,1,1,12,1,2,1,0,2,2,0,0,0,0,1,2,84.5,6359
3948,1,0,1,1,70,1,2,1,2,2,0,0,2,2,0,1,2,106.05,5804
1657,1,0,1,1,16,1,0,0,2,2,0,0,0,0,1,1,3,55.85,6236
6642,0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4,711
452,1,0,1,1,51,1,2,1,0,2,0,2,0,0,1,0,0,84.2,3655
2223,0,0,1,1,68,1,2,0,0,2,2,2,2,2,2,0,0,85.3,4610
422,0,0,0,0,11,1,0,1,0,2,2,2,0,2,0,1,2,94.2,6530
1220,1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,19.4,4231
3154,0,0,1,1,51,0,1,0,2,0,0,2,0,0,2,0,0,34.2,1313
7361,0,0,1,0,32,1,0,1,0,2,0,0,0,2,0,0,0,84.15,2236
7255,1,0,0,0,8,1,2,1,0,2,2,0,2,0,0,1,2,94.0,5885
5670,0,0,1,0,9,1,0,1,0,0,2,0,0,0,0,1,0,75.75,5238
102,1,0,1,0,69,0,1,0,2,0,2,2,2,2,2,0,0,60.25,3466
4775,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,3,75.0,1718
7026,0,0,0,0,15,1,0,1,0,2,2,0,2,2,0,1,2,101.25,842
1580,0,0,1,0,69,1,2,1,2,0,0,0,2,2,2,0,0,99.15,5423
2206,1,0,1,1,45,1,2,2,1,1,1,1,1,1,2,0,3,24.45,172
3984,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,78.95,5914
5753,0,0,0,0,46,1,2,1,0,0,0,0,2,2,0,0,0,96.05,3733
135,0,0,1,1,3,1,0,1,0,0,0,0,2,0,0,1,2,80.7,2026
5866,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,2,23.9,2597
4392,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,269
1310,1,0,1,1,63,1,2,2,1,1,1,1,1,1,2,0,1,24.65,1027
7002,0,1,0,0,5,1,2,1,0,0,0,0,2,0,0,1,1,83.15,3787
6180,1,0,0,0,30,1,0,1,0,0,0,0,2,2,0,1,2,90.25,2395
2287,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.9,5519
2266,1,0,1,0,70,1,2,1,2,2,2,2,2,2,1,0,1,115.65,6000
4454,0,0,0,0,61,1,2,1,2,2,2,2,2,2,1,1,2,118.6,5700
1935,0,0,1,0,54,1,2,1,2,2,2,2,2,2,1,1,3,114.65,4944
5715,0,0,1,0,18,0,1,0,0,0,2,0,2,0,0,1,2,39.05,5311
7450,1,0,1,1,24,1,2,0,2,0,0,0,0,0,0,0,2,54.75,614
2585,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.1,1477
807,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1502
2045,1,0,0,0,57,0,1,0,0,2,0,0,2,0,0,1,2,39.3,1743
6467,1,0,1,0,3,1,0,2,1,1,1,1,1,1,0,1,1,20.55,4300
462,0,0,0,0,30,1,2,1,0,0,2,0,2,2,0,0,2,100.45,2693
1956,0,0,0,0,48,1,2,2,1,1,1,1,1,1,1,0,1,25.05,321
6173,0,0,0,0,37,1,0,0,0,0,0,0,2,2,0,1,2,64.75,1980
799,0,0,1,1,71,1,2,0,2,2,2,2,0,0,2,0,3,71.1,4378
3309,1,0,0,0,5,1,0,0,2,0,2,0,0,0,0,1,3,55.8,2381
1073,0,0,1,1,69,1,2,1,0,2,2,2,2,2,1,1,0,108.75,5766
144,1,1,1,0,30,1,0,1,0,2,2,0,0,0,0,1,3,79.65,2001
1340,1,1,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,93.85,1566
2623,0,1,1,0,5,1,2,1,0,2,0,0,0,0,0,1,2,81.0,3200
5907,1,0,0,0,11,0,1,0,0,0,2,0,2,0,1,1,2,41.6,3983
2091,0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,20.1,1863
4836,1,1,1,0,17,1,0,1,0,0,0,0,0,2,0,0,0,81.5,599
4310,0,0,1,0,49,1,2,0,0,0,0,0,0,0,0,1,1,52.15,2235
2815,1,0,1,1,70,1,2,0,2,2,2,2,2,0,2,1,0,79.25,4736
4350,0,0,0,0,24,1,2,2,1,1,1,1,1,1,1,0,0,24.6,4945
4695,1,0,1,0,71,1,2,0,2,0,2,2,2,2,2,0,2,83.2,4998
5263,1,0,1,0,17,1,0,0,2,2,0,0,0,2,1,0,3,64.8,327
1003,1,0,0,1,5,1,0,2,1,1,1,1,1,1,0,0,3,20.2,6133
6734,0,1,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,50.15,285
